Name;CenterX;CenterY;Area;Perimeter;MinFeret;CircleAreaDiameter;CirclePerimeterDiameter;SAEDiameter;PerimeterError;AreaError 
Unmyelinated axon;18.800000;-52.800000;0.783595;3.602677;0.914240;0.999105;1.147349;0.644848;0.010506;-0.000397 
Unmyelinated axon;21.800000;-55.600000;0.081624;1.237081;0.282843;0.322460;0.393975;0.188821;0.004827;-0.000041 
Unmyelinated axon;22.000000;-55.700000;0.228549;2.079896;0.397123;0.539578;0.662387;0.313766;0.008252;-0.000116 
Unmyelinated axon;22.200000;-55.800000;0.734620;3.634104;0.714250;0.967379;1.157358;0.584596;0.013070;-0.000373 
Unmyelinated axon;20.300000;-55.500000;0.971331;3.911233;0.982808;1.112369;1.245616;0.750590;0.009539;-0.000493 
Unmyelinated axon;19.600000;-56.000000;0.628509;3.374117;0.762819;0.894789;1.074560;0.537625;0.012327;-0.000319 
Unmyelinated axon;19.900000;-56.100000;0.579534;3.408401;0.611398;0.859220;1.085478;0.479634;0.014765;-0.000294 
Unmyelinated axon;20.200000;-56.000000;0.253036;2.277029;0.414265;0.567749;0.725168;0.312158;0.010152;-0.000128 
Unmyelinated axon;20.200000;-56.200000;0.310173;2.414165;0.608541;0.628590;0.768842;0.367486;0.009457;-0.000157 
Unmyelinated axon;19.800000;-55.800000;0.146924;2.039898;0.345697;0.432625;0.649649;0.193930;0.011447;-0.000075 
Unmyelinated axon;20.000000;-55.700000;0.097949;1.351361;0.285700;0.353237;0.430370;0.207699;0.005220;-0.000050 
Unmyelinated axon;20.400000;-55.700000;0.375473;4.102652;0.479976;0.691599;1.306577;0.239590;0.023114;-0.000190 
Unmyelinated axon;20.000000;-55.800000;0.048975;0.871385;0.222846;0.249776;0.277511;0.171028;0.001988;-0.000025 
Unmyelinated axon;19.700000;-56.600000;0.604021;3.448399;0.679966;0.877185;1.098216;0.495899;0.014561;-0.000306 
Unmyelinated axon;19.300000;-56.500000;0.081624;1.117087;0.285700;0.322460;0.355760;0.223798;0.002386;-0.000041 
Unmyelinated axon;19.500000;-56.900000;1.371291;5.048319;1.085660;1.321691;1.607745;0.778966;0.019389;-0.000696 
Unmyelinated axon;19.400000;-57.300000;0.457097;2.734149;0.699965;0.763079;0.870748;0.497896;0.007656;-0.000232 
Unmyelinated axon;22.500000;-57.100000;0.032650;0.751391;0.171420;0.203941;0.239296;0.127049;0.002471;-0.000017 
Unmyelinated axon;23.400000;-57.700000;0.546884;3.094131;0.719964;0.834666;0.985392;0.514928;0.010483;-0.000277 
Unmyelinated axon;23.800000;-57.600000;0.759108;3.442685;0.908526;0.983370;1.096396;0.668909;0.008097;-0.000385 
Unmyelinated axon;23.600000;-58.300000;1.224367;4.354068;1.171370;1.248881;1.386646;0.856205;0.009873;-0.000621 
Unmyelinated axon;24.100000;-58.300000;0.848895;3.816952;0.819959;1.039901;1.215590;0.651763;0.012311;-0.000431 
Unmyelinated axon;24.100000;-58.000000;0.220386;2.399880;0.337126;0.529855;0.764293;0.249232;0.013047;-0.000112 
Unmyelinated axon;24.000000;-58.800000;1.469241;4.919754;1.228510;1.368081;1.566801;0.887094;0.014104;-0.000745 
Unmyelinated axon;23.700000;-59.200000;0.857057;3.768383;0.894241;1.044889;1.200122;0.674212;0.011001;-0.000435 
Unmyelinated axon;23.500000;-59.700000;1.134580;4.508346;0.877099;1.202217;1.435779;0.728481;0.016093;-0.000575 
Unmyelinated axon;23.500000;-60.400000;1.322317;4.805474;1.139943;1.297875;1.530406;0.802217;0.016188;-0.000671 
Unmyelinated axon;21.900000;-59.400000;0.489747;3.174127;0.651396;0.789862;1.010868;0.433102;0.014222;-0.000248 
Unmyelinated axon;22.100000;-59.700000;1.028469;4.479776;0.917097;1.144618;1.426680;0.651176;0.018667;-0.000522 
Unmyelinated axon;22.300000;-60.100000;1.159068;5.219739;0.877099;1.215121;1.662337;0.610368;0.026621;-0.000588 
Unmyelinated axon;24.300000;-60.300000;0.938682;4.062654;0.942810;1.093514;1.293839;0.672277;0.013909;-0.000476 
Unmyelinated axon;21.600000;-60.700000;1.281504;5.088317;0.982808;1.277689;1.620483;0.709358;0.022276;-0.000650 
Unmyelinated axon;21.900000;-60.800000;0.277523;2.557015;0.439978;0.594586;0.814336;0.298240;0.013063;-0.000141 
Unmyelinated axon;22.000000;-60.400000;0.155087;1.694201;0.454263;0.444480;0.539554;0.262774;0.006457;-0.000079 
Unmyelinated axon;22.100000;-60.700000;0.253036;2.685580;0.379981;0.567749;0.855280;0.253544;0.015100;-0.000128 
Unmyelinated axon;21.800000;-58.800000;0.473422;2.739863;0.742820;0.776586;0.872568;0.520770;0.006866;-0.000240 
Unmyelinated axon;22.000000;-59.000000;0.359148;2.588442;0.519974;0.676397;0.824345;0.397536;0.010010;-0.000182 
Unmyelinated axon;21.500000;-58.700000;0.359148;2.537016;0.685680;0.676397;0.807967;0.409735;0.009064;-0.000182 
Unmyelinated axon;25.900000;-59.300000;1.020306;4.502632;0.754248;1.140067;1.433959;0.640332;0.019268;-0.000518 
Unmyelinated axon;26.900000;-58.300000;0.865220;4.248359;0.919954;1.049853;1.352981;0.570238;0.019357;-0.000439 
Unmyelinated axon;27.500000;-58.600000;0.693808;3.499825;0.888527;0.940123;1.114594;0.576152;0.012094;-0.000352 
Unmyelinated axon;27.100000;-58.800000;0.130599;1.654203;0.308556;0.407883;0.526816;0.220883;0.007576;-0.000066 
Unmyelinated axon;27.000000;-59.200000;0.808082;4.631197;0.605684;1.014596;1.474904;0.472784;0.025357;-0.000410 
Unmyelinated axon;27.200000;-59.100000;0.367310;3.479826;0.417122;0.684040;1.108225;0.280823;0.020115;-0.000186 
Unmyelinated axon;25.700000;-57.400000;0.506072;3.534109;0.571400;0.802918;1.125512;0.391172;0.018627;-0.000257 
